Time	BL_Ankle PF E	BL_Ankle PF F	BL_Hip PF E	BL_Hip PF F	BL_Knee PF E	BL_Knee PF F	
0.52208	-0.05839138	-0.06004084	-0.05838985	-0.06006535	-0.05838907	-0.06007663	
0.52416	-0.05839012	-0.0600305	-0.05838861	-0.06005537	-0.05838783	-0.06007451	
0.52624	-0.05838887	-0.06002776	-0.05838737	-0.06004469	-0.05838661	-0.06007932	
0.52832	-0.05838763	-0.06002905	-0.05838615	-0.06005272	-0.0583854	-0.06008876	
0.5304	-0.05838641	-0.06004363	-0.05838495	-0.06004729	-0.05838421	-0.06008198	
0.53248	-0.05838521	-0.06004922	-0.05838377	-0.06004168	-0.05838304	-0.06007214	
0.53456	-0.05838402	-0.06005189	-0.0583826	-0.06003909	-0.05838187	-0.06007059	
0.53664	-0.05838284	-0.06005795	-0.05838144	-0.06004167	-0.05838073	-0.06007221	
0.53872	-0.05838168	-0.06005793	-0.0583803	-0.06005149	-0.05837959	-0.06007298	
0.5408	-0.05838054	-0.06004525	-0.05837917	-0.06006062	-0.05837847	-0.06006411	
0.54288	-0.05837941	-0.06004468	-0.05837806	-0.06006183	-0.05837737	-0.06004652	
0.54496	-0.05837829	-0.06003379	-0.05837696	-0.06007381	-0.05837628	-0.06003642	
0.54704	-0.05837719	-0.06004158	-0.05837587	-0.06006456	-0.0583752	-0.06002959	
0.54912	-0.0583761	-0.06005126	-0.0583748	-0.0600517	-0.05837414	-0.06004007	
0.5512	-0.05837503	-0.06005138	-0.05837374	-0.06003787	-0.05837309	-0.0600358	
0.55328	-0.05837397	-0.06004469	-0.0583727	-0.06002601	-0.05837205	-0.06004403	
0.55536	-0.05837292	-0.06003604	-0.05837167	-0.06001537	-0.05837103	-0.06004538	
0.55744	-0.05837188	-0.06002121	-0.05837065	-0.0600105	-0.05837002	-0.06003383	
0.55952	-0.05837086	-0.06000705	-0.05836964	-0.06001722	-0.05836902	-0.06002661	
0.5616	-0.05836986	-0.06001056	-0.05836865	-0.06002145	-0.05836804	-0.06002168	
0.56368	-0.05836886	-0.06001718	-0.05836767	-0.0600187	-0.05836707	-0.0600091	
0.56576	-0.05836788	-0.06002415	-0.0583667	-0.06002328	-0.0583661	-0.06001714	
0.56784	-0.05836691	-0.06002078	-0.05836575	-0.06002012	-0.05836516	-0.06001791	
0.56992	-0.05836595	-0.06002358	-0.05836481	-0.06002062	-0.05836422	-0.06001015	
0.572	-0.05836501	-0.06003774	-0.05836388	-0.06003018	-0.0583633	-0.06001798	
0.57408	-0.05836407	-0.0600323	-0.05836296	-0.06003077	-0.05836239	-0.06002951	
0.57616	-0.05836315	-0.06003988	-0.05836205	-0.06002651	-0.05836149	-0.06002961	
0.57824	-0.05836224	-0.06003903	-0.05836115	-0.06003087	-0.0583606	-0.06002188	
0.58032	-0.05836134	-0.06004478	-0.05836027	-0.06002137	-0.05835972	-0.06001541	
0.5824	-0.05836046	-0.06005163	-0.0583594	-0.06002943	-0.05835886	-0.06001278	
0.58448	-0.05835958	-0.06004853	-0.05835854	-0.06002203	-0.058358	-0.06001674	
