Time	BL_Ankle MN E	BL_Ankle MN F	BL_Hip MN E	BL_Hip MN F	BL_Knee MN E	BL_Knee MN F	
0.54912	-0.05593091	-0.1	-0.05964532	-0.1	-0.04408498	-0.09977427	
0.5512	-0.05588633	-0.1	-0.05970824	-0.1	-0.04404901	-0.0997746	
0.55328	-0.05582053	-0.1	-0.05976721	-0.1	-0.04392202	-0.09977489	
0.55536	-0.05570725	-0.1	-0.05985886	-0.1	-0.04372792	-0.09977511	
0.55744	-0.05555866	-0.1	-0.05993684	-0.1	-0.04396474	-0.09977545	
0.55952	-0.05552425	-0.1	-0.0599931	-0.1	-0.04429575	-0.09977555	
0.5616	-0.05559456	-0.1	-0.06002953	-0.1	-0.04464306	-0.09977529	
0.56368	-0.05573168	-0.1	-0.06007192	-0.1	-0.04505147	-0.09977468	
0.56576	-0.05587241	-0.1	-0.06021316	-0.1	-0.04527183	-0.09977434	
0.56784	-0.05577393	-0.1	-0.06044414	-0.1	-0.04560633	-0.09977449	
0.56992	-0.05546831	-0.1	-0.06052125	-0.1	-0.04569522	-0.09977513	
0.572	-0.05522521	-0.1	-0.06053451	-0.1	-0.04610146	-0.09977545	
0.57408	-0.05508048	-0.1	-0.06052386	-0.1	-0.04670006	-0.09977513	
0.57616	-0.05510676	-0.1	-0.06004572	-0.1	-0.04727102	-0.09977414	
0.57824	-0.05508922	-0.1	-0.05952626	-0.1	-0.04759171	-0.0997706	
0.58032	-0.05503019	-0.1	-0.05927702	-0.1	-0.04771335	-0.09976539	
0.5824	-0.05484378	-0.1	-0.05925613	-0.1	-0.04773823	-0.09976041	
0.58448	-0.05465572	-0.1	-0.05955039	-0.1	-0.04816616	-0.09975671	
0.58656	-0.05444993	-0.1	-0.05987986	-0.1	-0.04850386	-0.09975515	
0.58864	-0.05423362	-0.1	-0.06015403	-0.1	-0.04874271	-0.09975512	
0.59072	-0.05403239	-0.1	-0.06030057	-0.1	-0.04884417	-0.09975592	
0.5928	-0.05389329	-0.1	-0.05992981	-0.1	-0.04870667	-0.09975675	
0.59488	-0.0537485	-0.1	-0.05948051	-0.1	-0.04854855	-0.09975547	
0.59696	-0.05357421	-0.1	-0.05909958	-0.1	-0.04840483	-0.09975254	
0.59904	-0.05340666	-0.09994239	-0.05899375	-0.1	-0.04834016	-0.09974889	
0.60112	-0.05330906	-0.09987259	-0.05898811	-0.1	-0.04838989	-0.099746	
0.6032	-0.05326005	-0.09989407	-0.05916592	-0.1	-0.04852488	-0.09974397	
0.60528	-0.05316665	-0.09993798	-0.05936118	-0.1	-0.04872184	-0.09974322	
0.60736	-0.05299862	-0.09996401	-0.05949174	-0.1	-0.04898414	-0.09974331	
0.60944	-0.05278428	-0.09997919	-0.05957546	-0.1	-0.04927728	-0.0997436	
0.61152	-0.05256461	-0.09997326	-0.05978248	-0.1	-0.04960432	-0.09974378	
0.6136	-0.05242627	-0.09997953	-0.05998459	-0.09994213	-0.04987659	-0.09974438	
0.61568	-0.05238015	-0.09998816	-0.06017191	-0.09990565	-0.05014959	-0.09974526	
0.61776	-0.05243874	-0.09999314	-0.06001905	-0.09994248	-0.05057187	-0.09974629	
0.61984	-0.05244834	-0.09999605	-0.05979406	-0.09996494	-0.05079907	-0.09974587	
